ID,complaint_text,category,priority
48,Electric meter sparking in house lane.,Electricity,Low
49,Electric meter sparking in house lane.,Electricity,Low
50,Electric meter sparking in house lane.,Electricity,High
51,Electric meter sparking in house lane.,Electricity,Medium
52,No power backup in public library.,Electricity,Low
53,"Transformer constantly buzzing, may explode.",Electricity,Medium
54,"Transformer constantly buzzing, may explode.",Electricity,Medium
55,"Transformer constantly buzzing, may explode.",Electricity,Medium
56,Electric meter sparking in house lane.,Electricity,Medium
57,Electric meter sparking in house lane.,Electricity,Low
58,"Transformer constantly buzzing, may explode.",Electricity,Low
59,No power backup in public library.,Electricity,Medium
60,Electric wires hanging low near school.,Electricity,High
61,Public toilet needs urgent cleaning.,Sanitation,High
62,Waste dumped illegally in empty plot.,Sanitation,Low
63,Dead animal not removed from road for 3 days.,Sanitation,High
64,Public toilet needs urgent cleaning.,Sanitation,Low
65,Dead animal not removed from road for 3 days.,Sanitation,Low
66,Waste dumped illegally in empty plot.,Sanitation,High
67,Street not cleaned for over 10 days.,Sanitation,Medium
68,Waste dumped illegally in empty plot.,Sanitation,Low
69,Street not cleaned for over 10 days.,Sanitation,High
70,Public toilet needs urgent cleaning.,Sanitation,High
71,Waste dumped illegally in empty plot.,Sanitation,High
72,Waste dumped illegally in empty plot.,Sanitation,Low
73,Waste dumped illegally in empty plot.,Sanitation,High
74,Public toilet needs urgent cleaning.,Sanitation,Medium
75,Dead animal not removed from road for 3 days.,Sanitation,Medium
76,"Factory siren too loud, disturbing nearby houses.",Noise Pollution,High
77,"Factory siren too loud, disturbing nearby houses.",Noise Pollution,High
78,Unregistered political rally using huge sound systems.,Noise Pollution,Medium
79,Unregistered political rally using huge sound systems.,Noise Pollution,Medium
80,Daily prayer loudspeaker starts at 4 AM.,Noise Pollution,High
81,Repeated honking by auto drivers in no-honking zone.,Noise Pollution,Medium
82,Daily prayer loudspeaker starts at 4 AM.,Noise Pollution,High
83,Daily prayer loudspeaker starts at 4 AM.,Noise Pollution,Medium
84,Repeated honking by auto drivers in no-honking zone.,Noise Pollution,High
85,Unregistered political rally using huge sound systems.,Noise Pollution,High
86,Repeated honking by auto drivers in no-honking zone.,Noise Pollution,High
87,Unregistered political rally using huge sound systems.,Noise Pollution,High
88,Repeated honking by auto drivers in no-honking zone.,Noise Pollution,Medium
89,Unregistered political rally using huge sound systems.,Noise Pollution,Medium
90,Street vendors use loudspeakers at high volume.,Noise Pollution,Medium
91,Potholes on main highway causing accidents.,Road Safety,Medium
92,Speed breakers without paint or signs.,Road Safety,High
93,"Footpath encroached, pedestrians walking on road.",Road Safety,High
94,Traffic signals not working at major intersection.,Road Safety,Medium
95,"Footpath encroached, pedestrians walking on road.",Road Safety,High
96,Traffic signals not working at major intersection.,Road Safety,Medium
97,"Footpath encroached, pedestrians walking on road.",Road Safety,High
98,Speed breakers without paint or signs.,Road Safety,High
99,No zebra crossing near school zone.,Road Safety,Medium
100,"Footpath encroached, pedestrians walking on road.",Road Safety,Medium
101,Traffic signals not working at major intersection.,Road Safety,High
102,Traffic signals not working at major intersection.,Road Safety,Medium
103,Traffic signals not working at major intersection.,Road Safety,Medium
104,Potholes on main highway causing accidents.,Road Safety,Medium
105,"Footpath encroached, pedestrians walking on road.",Road Safety,Medium
